wavelength,RSR_Rrs_443,RSR_Rrs_482,RSR_Rrs_561,RSR_Rrs_655,RSR_Rrs_865
707,,,,,
708,,,,,
709,,,,,
710,,,,,
711,,,,,
712,,,,,
713,,,,,
714,,,,,
715,,,,,
716,,,,,
717,,,,,
718,,,,,
719,,,,,
720,,,,,
721,,,,,
722,,,,,
723,,,,,
724,,,,,
725,,,,,
726,,,,,
727,,,,,
728,,,,,
729,,,,,
730,,,,,
731,,,,,
732,,,,,
733,,,,,
734,,,,,
735,,,,,
736,,,,,
737,,,,,
738,,,,,
739,,,,,
740,,,,,
741,,,,,
742,,,,,
743,,,,,
744,,,,,
745,,,,,
746,,,,,
747,,,,,
748,,,,,
749,,,,,
750,,,,,
751,,,,,
752,,,,,
753,,,,,
754,,,,,
755,,,,,
756,,,,,
757,,,,,
758,,,,,
759,,,,,
760,,,,,
761,,,,,
762,,,,,
763,,,,,
764,,,,,
765,,,,,
766,,,,,
767,,,,,
768,,,,,
769,,,,,
770,,,,,
771,,,,,
772,,,,,
773,,,,,
774,,,,,
775,,,,,
776,,,,,
777,,,,,
778,,,,,
779,,,,,
780,,,,,
781,,,,,
782,,,,,
783,,,,,
784,,,,,
785,,,,,
786,,,,,
787,,,,,
788,,,,,
789,,,,,
790,,,,,
791,,,,,
792,,,,,
793,,,,,
794,,,,,
795,,,,,
796,,,,,
797,,,,,
798,,,,,
799,,,,,
800,,,,,
801,,,,,
802,,,,,
803,,,,,
804,,,,,
805,,,,,
806,,,,,
807,,,,,
808,,,,,
809,,,,,
810,,,,,
811,,,,,
812,,,,,
813,,,,,
814,,,,,
815,,,,,
816,,,,,
817,,,,,
818,,,,,
819,,,,,
820,,,,,
821,,,,,
822,,,,,
823,,,,,
824,,,,,
825,,,,,
826,,,,,
827,,,,,
828,,,,,
829,,,,,-0.000034
830,,,,,0.000011
831,,,,,0.00005
832,,,,,0.0001
833,,,,,0.000239
834,,,,,0.000314
835,,,,,0.000495
836,,,,,0.000719
837,,,,,0.000986
838,,,,,0.001445
839,,,,,0.002107
840,,,,,0.00316
841,,,,,0.004744
842,,,,,0.007059
843,,,,,0.0109
844,,,,,0.017346
845,,,,,0.028332
846,,,,,0.048191
847,,,,,0.084363
848,,,,,0.145365
849,,,,,0.249733
850,,,,,0.403526
851,,,,,0.582623
852,,,,,0.745037
853,,,,,0.890315
854,,,,,0.960215
855,,,,,0.986833
856,,,,,0.973133
857,,,,,0.980606
858,,,,,0.99612
859,,,,,1
860,,,,,0.989777
861,,,,,0.980733
862,,,,,0.975935
863,,,,,0.972043
864,,,,,0.957357
865,,,,,0.951209
866,,,,,0.947044
867,,,,,0.953162
868,,,,,0.951499
869,,,,,0.94845
870,,,,,0.940094
871,,,,,0.950632
872,,,,,0.956079
873,,,,,0.96646
874,,,,,0.969821
875,,,,,0.93661
876,,,,,0.891066
877,,,,,0.788733
878,,,,,0.63532
879,,,,,0.448364
880,,,,,0.288847
881,,,,,0.174619
882,,,,,0.100343
883,,,,,0.058265
884,,,,,0.034532
885,,,,,0.02072
886,,,,,0.01244
887,,,,,0.007601
888,,,,,0.004702
889,,,,,0.002944
890,,,,,0.00187
891,,,,,0.001192
892,,,,,0.000743
893,,,,,0.000423
894,,,,,0.000241
895,,,,,0.000116
896,,,,,0.000044
897,,,,,-0.000013
898,,,,,-0.00005
899,,,,,-0.000084
900,,,,,-0.0001
