wavelength,RSR_Rrs_412,RSR_Rrs_443,RSR_Rrs_488,RSR_Rrs_531,RSR_Rrs_551,RSR_Rrs_667,RSR_Rrs_678,RSR_Rrs_748,RSR_Rrs_869
612,,,,,,,,,
613,,,,,,,,,
614,,,,,,,,,
615,,,,,,,,,
616,,,,,,,,,
617,,,,,,,,,
618,,,,,,,,,
619,,,,,,,,,
620,,,,,,,,,
621,,,,,,,,,
622,,,,,,,,,
623,,,,,,,,,
624,,,,,,,,,
625,,,,,,,,,
626,,,,,,,,,
627,,,,,,,,,
628,,,,,,,,,
629,,,,,,,,,
630,,,,,,,,,
631,,,,,,,,,
632,,,,,,,,,
633,,,,,,,,,
634,,,,,,,,,
635,,,,,,,,,
636,,,,,,,,,
637,,,,,,,,,
638,,,,,,,,,
639,,,,,,,,,
640,,,,,,,,,
641,,,,,,,,,
642,,,,,,,,,
643,,,,,,,,,
644,,,,,,,,,
645,,,,,,,,,
646,,,,,,,,,
647,,,,,,,,,
648,,,,,,,,,
649,,,,,,,,,
650,,,,,,0.00,,,
651,,,,,,0.00,,,
652,,,,,,0.00,,,
653,,,,,,0.00,,,
654,,,,,,0.00,,,
655,,,,,,0.01,,,
656,,,,,,0.01,,,
657,,,,,,0.02,,,
658,,,,,,0.08,,,
659,,,,,,0.18,0.00,,
660,,,,,,0.33,0.00,,
661,,,,,,0.50,0.00,,
662,,,,,,0.67,0.00,,
663,,,,,,0.83,0.00,,
664,,,,,,0.94,0.01,,
665,,,,,,1.00,0.01,,
666,,,,,,0.99,0.01,,
667,,,,,,0.92,0.02,,
668,,,,,,0.84,0.05,,
669,,,,,,0.77,0.10,,
670,,,,,,0.66,0.20,,
671,,,,,,0.49,0.34,,
672,,,,,,0.33,0.50,,
673,,,,,,0.23,0.67,,
674,,,,,,0.11,0.82,,
675,,,,,,0.02,0.94,,
676,,,,,,0.01,0.99,,
677,,,,,,0.01,1.00,,
678,,,,,,0.00,0.98,,
679,,,,,,0.00,0.97,,
680,,,,,,0.00,0.93,,
681,,,,,,0.00,0.83,,
682,,,,,,0.00,0.70,,
683,,,,,,,0.56,,
684,,,,,,,0.42,,
685,,,,,,,0.25,,
686,,,,,,,0.10,,
687,,,,,,,0.04,,
688,,,,,,,0.02,,
689,,,,,,,0.01,,
690,,,,,,,0.01,,
691,,,,,,,0.01,,
692,,,,,,,0.00,,
693,,,,,,,0.00,,
694,,,,,,,0.00,,
695,,,,,,,0.00,,
696,,,,,,,0.00,,
697,,,,,,,,,
698,,,,,,,,,
699,,,,,,,,,
700,,,,,,,,,
701,,,,,,,,,
702,,,,,,,,,
703,,,,,,,,,
704,,,,,,,,,
705,,,,,,,,,
706,,,,,,,,,
707,,,,,,,,,
708,,,,,,,,,
709,,,,,,,,,
710,,,,,,,,,
711,,,,,,,,,
712,,,,,,,,,
713,,,,,,,,,
714,,,,,,,,,
715,,,,,,,,,
716,,,,,,,,,
717,,,,,,,,,
718,,,,,,,,,
719,,,,,,,,,
720,,,,,,,,,
721,,,,,,,,,
722,,,,,,,,,
723,,,,,,,,,
724,,,,,,,,,
725,,,,,,,,,
726,,,,,,,,,
727,,,,,,,,,
728,,,,,,,,0.00,
729,,,,,,,,0.00,
730,,,,,,,,0.00,
731,,,,,,,,0.00,
732,,,,,,,,0.00,
733,,,,,,,,0.01,
734,,,,,,,,0.01,
735,,,,,,,,0.01,
736,,,,,,,,0.01,
737,,,,,,,,0.02,
738,,,,,,,,0.04,
739,,,,,,,,0.10,
740,,,,,,,,0.20,
741,,,,,,,,0.34,
742,,,,,,,,0.49,
743,,,,,,,,0.66,
744,,,,,,,,0.81,
745,,,,,,,,0.92,
746,,,,,,,,0.97,
747,,,,,,,,1.00,
748,,,,,,,,0.97,
749,,,,,,,,0.88,
750,,,,,,,,0.76,
751,,,,,,,,0.63,
752,,,,,,,,0.48,
753,,,,,,,,0.30,
754,,,,,,,,0.14,
755,,,,,,,,0.06,
756,,,,,,,,0.03,
757,,,,,,,,0.01,
758,,,,,,,,0.01,
759,,,,,,,,0.01,
760,,,,,,,,0.00,
761,,,,,,,,0.00,
762,,,,,,,,0.00,
763,,,,,,,,0.00,
764,,,,,,,,0.00,
765,,,,,,,,,
766,,,,,,,,,
767,,,,,,,,,
768,,,,,,,,,
769,,,,,,,,,
770,,,,,,,,,
771,,,,,,,,,
772,,,,,,,,,
773,,,,,,,,,
774,,,,,,,,,
775,,,,,,,,,
776,,,,,,,,,
777,,,,,,,,,
778,,,,,,,,,
779,,,,,,,,,
780,,,,,,,,,
781,,,,,,,,,
782,,,,,,,,,
783,,,,,,,,,
784,,,,,,,,,
785,,,,,,,,,
786,,,,,,,,,
787,,,,,,,,,
788,,,,,,,,,
789,,,,,,,,,
790,,,,,,,,,
791,,,,,,,,,
792,,,,,,,,,
793,,,,,,,,,
794,,,,,,,,,
795,,,,,,,,,
796,,,,,,,,,
797,,,,,,,,,
798,,,,,,,,,
799,,,,,,,,,
800,,,,,,,,,
801,,,,,,,,,
802,,,,,,,,,
803,,,,,,,,,
804,,,,,,,,,
805,,,,,,,,,
806,,,,,,,,,
807,,,,,,,,,
808,,,,,,,,,
809,,,,,,,,,
810,,,,,,,,,
811,,,,,,,,,
812,,,,,,,,,
813,,,,,,,,,
814,,,,,,,,,
815,,,,,,,,,
816,,,,,,,,,
817,,,,,,,,,
818,,,,,,,,,
819,,,,,,,,,
820,,,,,,,,,
821,,,,,,,,,
822,,,,,,,,,
823,,,,,,,,,
824,,,,,,,,,
825,,,,,,,,,
826,,,,,,,,,
827,,,,,,,,,
828,,,,,,,,,
829,,,,,,,,,
830,,,,,,,,,
831,,,,,,,,,
832,,,,,,,,,
833,,,,,,,,,
834,,,,,,,,,
835,,,,,,,,,
836,,,,,,,,,
837,,,,,,,,,
838,,,,,,,,,
839,,,,,,,,,
840,,,,,,,,,
841,,,,,,,,,
842,,,,,,,,,
843,,,,,,,,,
844,,,,,,,,,0.00
845,,,,,,,,,0.00
846,,,,,,,,,0.00
847,,,,,,,,,0.00
848,,,,,,,,,0.00
849,,,,,,,,,0.01
850,,,,,,,,,0.01
851,,,,,,,,,0.01
852,,,,,,,,,0.01
853,,,,,,,,,0.03
854,,,,,,,,,0.05
855,,,,,,,,,0.09
856,,,,,,,,,0.15
857,,,,,,,,,0.24
858,,,,,,,,,0.34
859,,,,,,,,,0.46
860,,,,,,,,,0.59
861,,,,,,,,,0.72
862,,,,,,,,,0.83
863,,,,,,,,,0.92
864,,,,,,,,,0.97
865,,,,,,,,,1.00
866,,,,,,,,,1.00
867,,,,,,,,,0.99
868,,,,,,,,,0.99
869,,,,,,,,,0.98
870,,,,,,,,,0.95
871,,,,,,,,,0.88
872,,,,,,,,,0.80
873,,,,,,,,,0.70
874,,,,,,,,,0.60
875,,,,,,,,,0.49
876,,,,,,,,,0.35
877,,,,,,,,,0.21
878,,,,,,,,,0.10
879,,,,,,,,,0.05
880,,,,,,,,,0.03
881,,,,,,,,,0.02
882,,,,,,,,,0.01
883,,,,,,,,,0.01
884,,,,,,,,,0.01
885,,,,,,,,,0.00
886,,,,,,,,,0.00
887,,,,,,,,,0.00
888,,,,,,,,,0.00
889,,,,,,,,,0.00
890,,,,,,,,,
891,,,,,,,,,
892,,,,,,,,,
893,,,,,,,,,
894,,,,,,,,,
895,,,,,,,,,
896,,,,,,,,,
897,,,,,,,,,
898,,,,,,,,,
899,,,,,,,,,
900,,,,,,,,,
901,,,,,,,,,
902,,,,,,,,,
903,,,,,,,,,
904,,,,,,,,,
905,,,,,,,,,
906,,,,,,,,,
907,,,,,,,,,
908,,,,,,,,,
909,,,,,,,,,
910,,,,,,,,,
911,,,,,,,,,
912,,,,,,,,,
913,,,,,,,,,
914,,,,,,,,,
915,,,,,,,,,
916,,,,,,,,,
917,,,,,,,,,
918,,,,,,,,,
919,,,,,,,,,
920,,,,,,,,,
921,,,,,,,,,
922,,,,,,,,,
923,,,,,,,,,
924,,,,,,,,,
925,,,,,,,,,
926,,,,,,,,,
927,,,,,,,,,
928,,,,,,,,,
929,,,,,,,,,
930,,,,,,,,,
931,,,,,,,,,
932,,,,,,,,,
933,,,,,,,,,
934,,,,,,,,,
935,,,,,,,,,
936,,,,,,,,,
937,,,,,,,,,
938,,,,,,,,,
939,,,,,,,,,
940,,,,,,,,,
941,,,,,,,,,
942,,,,,,,,,
943,,,,,,,,,
944,,,,,,,,,
945,,,,,,,,,
946,,,,,,,,,
947,,,,,,,,,
948,,,,,,,,,
949,,,,,,,,,
950,,,,,,,,,
951,,,,,,,,,
952,,,,,,,,,
953,,,,,,,,,
954,,,,,,,,,
955,,,,,,,,,
956,,,,,,,,,
957,,,,,,,,,
958,,,,,,,,,
959,,,,,,,,,
960,,,,,,,,,
961,,,,,,,,,
962,,,,,,,,,
963,,,,,,,,,
964,,,,,,,,,
965,,,,,,,,,
966,,,,,,,,,
967,,,,,,,,,
968,,,,,,,,,
969,,,,,,,,,
970,,,,,,,,,
971,,,,,,,,,
972,,,,,,,,,
973,,,,,,,,,
974,,,,,,,,,
975,,,,,,,,,
976,,,,,,,,,
977,,,,,,,,,
978,,,,,,,,,
979,,,,,,,,,
980,,,,,,,,,
981,,,,,,,,,
982,,,,,,,,,
983,,,,,,,,,
984,,,,,,,,,
985,,,,,,,,,
986,,,,,,,,,
987,,,,,,,,,
988,,,,,,,,,
989,,,,,,,,,
990,,,,,,,,,
991,,,,,,,,,
992,,,,,,,,,
993,,,,,,,,,
994,,,,,,,,,
995,,,,,,,,,
996,,,,,,,,,
997,,,,,,,,,
998,,,,,,,,,
999,,,,,,,,,
1000,,,,,,,,,
1001,,,,,,,,,
1002,,,,,,,,,
1003,,,,,,,,,
1004,,,,,,,,,
1005,,,,,,,,,
1006,,,,,,,,,
1007,,,,,,,,,
1008,,,,,,,,,
1009,,,,,,,,,
1010,,,,,,,,,
1011,,,,,,,,,
1012,,,,,,,,,
1013,,,,,,,,,
1014,,,,,,,,,
1015,,,,,,,,,
1016,,,,,,,,,
1017,,,,,,,,,
1018,,,,,,,,,
1019,,,,,,,,,
1020,,,,,,,,,
1021,,,,,,,,,
1022,,,,,,,,,
1023,,,,,,,,,
1024,,,,,,,,,
1025,,,,,,,,,
1026,,,,,,,,,
1027,,,,,,,,,
1028,,,,,,,,,
1029,,,,,,,,,
1030,,,,,,,,,
1031,,,,,,,,,
1032,,,,,,,,,
1033,,,,,,,,,
1034,,,,,,,,,
1035,,,,,,,,,
1036,,,,,,,,,
1037,,,,,,,,,
1038,,,,,,,,,
1039,,,,,,,,,
1040,,,,,,,,,
1041,,,,,,,,,
1042,,,,,,,,,
1043,,,,,,,,,
1044,,,,,,,,,
1045,,,,,,,,,
1046,,,,,,,,,
1047,,,,,,,,,
1048,,,,,,,,,
1049,,,,,,,,,
1050,,,,,,,,,
1051,,,,,,,,,
1052,,,,,,,,,
1053,,,,,,,,,
1054,,,,,,,,,
1055,,,,,,,,,
1056,,,,,,,,,
1057,,,,,,,,,
1058,,,,,,,,,
1059,,,,,,,,,
1060,,,,,,,,,
1061,,,,,,,,,
1062,,,,,,,,,
1063,,,,,,,,,
1064,,,,,,,,,
1065,,,,,,,,,
1066,,,,,,,,,
1067,,,,,,,,,
1068,,,,,,,,,
1069,,,,,,,,,
1070,,,,,,,,,
1071,,,,,,,,,
1072,,,,,,,,,
1073,,,,,,,,,
1074,,,,,,,,,
1075,,,,,,,,,
1076,,,,,,,,,
1077,,,,,,,,,
1078,,,,,,,,,
1079,,,,,,,,,
1080,,,,,,,,,
1081,,,,,,,,,
1082,,,,,,,,,
1083,,,,,,,,,
1084,,,,,,,,,
1085,,,,,,,,,
1086,,,,,,,,,
1087,,,,,,,,,
1088,,,,,,,,,
1089,,,,,,,,,
1090,,,,,,,,,
1091,,,,,,,,,
1092,,,,,,,,,
1093,,,,,,,,,
1094,,,,,,,,,
1095,,,,,,,,,
1096,,,,,,,,,
1097,,,,,,,,,
1098,,,,,,,,,
1099,,,,,,,,,
1100,,,,,,,,,
